frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
239,0.9956,13.442,25.899,22.075,8.289,10.258,15.641,Fairway,airborne,-0.002,0
240,0.9998,13.349,25.934,22.039,8.237,10.256,15.678,Fairway,airborne,-0.002,0
241,1.0039,13.257,25.968,22.003,8.186,10.254,15.714,Fairway,airborne,-0.002,0
242,1.0081,13.166,26.002,21.967,8.134,10.252,15.749,Fairway,airborne,-0.002,0
243,1.0123,13.074,26.035,21.931,8.082,10.250,15.785,Fairway,airborne,-0.002,0
244,1.0164,12.982,26.069,21.896,8.031,10.249,15.820,Fairway,airborne,-0.002,0
245,1.0206,12.891,26.102,21.860,7.979,10.247,15.855,Fairway,airborne,-0.002,0
246,1.0248,12.799,26.135,21.824,7.928,10.245,15.890,Fairway,airborne,-0.002,0
247,1.0289,12.708,26.168,21.788,7.877,10.243,15.925,Fairway,airborne,-0.002,0
248,1.0331,12.617,26.201,21.753,7.826,10.241,15.960,Fairway,airborne,-0.002,0
249,1.0372,12.526,26.234,21.717,7.775,10.240,15.994,Fairway,airborne,-0.002,0
250,1.0414,12.435,26.266,21.682,7.724,10.238,16.028,Fairway,airborne,-0.002,0
251,1.0456,12.344,26.298,21.646,7.673,10.236,16.062,Fairway,airborne,-0.002,0
252,1.0497,12.254,26.330,21.611,7.623,10.234,16.095,Fairway,airborne,-0.002,0
253,1.0539,12.163,26.361,21.575,7.572,10.232,16.129,Fairway,airborne,-0.002,0
254,1.0581,12.073,26.393,21.540,7.522,10.231,16.162,Fairway,airborne,-0.002,0
255,1.0622,11.983,26.424,21.505,7.471,10.229,16.195,Fairway,airborne,-0.002,0
256,1.0664,11.892,26.455,21.469,7.421,10.227,16.228,Fairway,airborne,-0.002,0
257,1.0706,11.802,26.486,21.434,7.371,10.225,16.261,Fairway,airborne,-0.002,0
258,1.0747,11.712,26.516,21.399,7.321,10.224,16.293,Fairway,airborne,-0.002,0
259,1.0789,11.622,26.547,21.364,7.271,10.222,16.325,Fairway,airborne,-0.002,0
260,1.0831,11.533,26.577,21.329,7.221,10.220,16.357,Fairway,airborne,-0.002,0
261,1.0872,11.443,26.607,21.294,7.171,10.218,16.389,Fairway,airborne,-0.002,0
262,1.0914,11.354,26.637,21.259,7.122,10.216,16.420,Fairway,airborne,-0.002,0
263,1.0956,11.264,26.666,21.224,7.072,10.215,16.452,Fairway,airborne,-0.002,0
264,1.0997,11.175,26.696,21.189,7.023,10.213,16.483,Fairway,airborne,-0.002,0
265,1.1039,11.086,26.725,21.154,6.973,10.211,16.514,Fairway,airborne,-0.002,0
266,1.1081,10.997,26.754,21.119,6.924,10.209,16.544,Fairway,airborne,-0.002,0
267,1.1122,10.908,26.782,21.084,6.875,10.208,16.575,Fairway,airborne,-0.002,0
268,1.1164,10.819,26.811,21.049,6.825,10.206,16.605,Fairway,airborne,-0.002,0
269,1.1206,10.730,26.839,21.015,6.776,10.204,16.635,Fairway,airborne,-0.002,0
270,1.1247,10.641,26.867,20.980,6.727,10.202,16.665,Fairway,airborne,-0.002,0
271,1.1289,10.553,26.895,20.945,6.679,10.200,16.695,Fairway,airborne,-0.002,0
272,1.1331,10.464,26.923,20.911,6.630,10.199,16.724,Fairway,airborne,-0.002,0
273,1.1372,10.376,26.951,20.876,6.581,10.197,16.753,Fairway,airborne,-0.002,0
274,1.1414,10.288,26.978,20.842,6.532,10.196,16.782,Fairway,airborne,-0.002,0
275,1.1456,10.200,27.005,20.807,6.484,10.194,16.811,Fairway,airborne,-0.002,0
276,1.1497,10.112,27.032,20.773,6.435,10.192,16.839,Fairway,airborne,-0.002,0
277,1.1539,10.024,27.059,20.738,6.387,10.191,16.868,Fairway,airborne,-0.002,0
278,1.1581,9.936,27.085,20.704,6.339,10.189,16.896,Fairway,airborne,-0.002,0
279,1.1622,9.848,27.111,20.670,6.290,10.188,16.924,Fairway,airborne,-0.002,0
280,1.1664,9.761,27.137,20.635,6.242,10.186,16.951,Fairway,airborne,-0.002,0
281,1.1705,9.673,27.163,20.601,6.194,10.185,16.979,Fairway,airborne,-0.002,0
282,1.1747,9.586,27.189,20.567,6.146,10.183,17.006,Fairway,airborne,-0.002,0
283,1.1789,9.499,27.215,20.533,6.098,10.181,17.033,Fairway,airborne,-0.002,0
284,1.1830,9.411,27.240,20.499,6.051,10.180,17.060,Fairway,airborne,-0.002,0
285,1.1872,9.324,27.265,20.465,6.003,10.178,17.087,Fairway,airborne,-0.002,0
286,1.1914,9.237,27.290,20.431,5.955,10.177,17.113,Fairway,airborne,-0.002,0
287,1.1955,9.150,27.315,20.397,5.908,10.175,17.139,Fairway,airborne,-0.002,0
288,1.1997,9.064,27.339,20.363,5.860,10.174,17.165,Fairway,airborne,-0.002,0
289,1.2039,8.977,27.363,20.329,5.813,10.172,17.191,Fairway,airborne,-0.002,0
