frame,phase,surface,ballX,ballY,ballZ,groundY2arg,groundY3arg
223,putt,Green,-237.5707,10.3529,-72.0000,10.3315,10.3315
224,putt,Green,-237.5517,10.3524,-72.0000,10.3311,10.3311
225,putt,Green,-237.5328,10.3520,-72.0000,10.3306,10.3306
226,putt,Green,-237.5138,10.3515,-72.0000,10.3301,10.3301
227,putt,Green,-237.4949,10.3510,-72.0000,10.3297,10.3297
228,putt,Green,-237.4760,10.3506,-72.0000,10.3292,10.3292
229,putt,Green,-237.4571,10.3501,-72.0000,10.3287,10.3287
230,putt,Green,-237.4382,10.3496,-72.0000,10.3283,10.3283
231,putt,Green,-237.4193,10.3492,-72.0000,10.3278,10.3278
232,putt,Green,-237.4004,10.3487,-72.0000,10.3273,10.3273
233,putt,Green,-237.3815,10.3482,-72.0000,10.3269,10.3269
234,putt,Green,-237.3627,10.3478,-72.0000,10.3264,10.3264
235,putt,Green,-237.3438,10.3473,-72.0000,10.3259,10.3259
236,putt,Green,-237.3250,10.3468,-72.0000,10.3255,10.3255
237,putt,Green,-237.3061,10.3463,-72.0000,10.3250,10.3250
238,putt,Green,-237.2873,10.3459,-72.0000,10.3245,10.3245
239,putt,Green,-237.2685,10.3454,-72.0000,10.3241,10.3241
240,putt,Green,-237.2497,10.3450,-72.0000,10.3236,10.3236
241,putt,Green,-237.2309,10.3445,-72.0000,10.3231,10.3231
242,putt,Green,-237.2121,10.3440,-72.0000,10.3227,10.3227
243,putt,Green,-237.1933,10.3436,-72.0000,10.3222,10.3222
244,putt,Green,-237.1745,10.3431,-72.0000,10.3217,10.3217
245,putt,Green,-237.1557,10.3426,-72.0000,10.3213,10.3213
246,putt,Green,-237.1369,10.3422,-72.0000,10.3208,10.3208
247,putt,Green,-237.1181,10.3417,-72.0000,10.3203,10.3203
248,putt,Green,-237.0994,10.3412,-72.0000,10.3199,10.3199
249,putt,Green,-237.0806,10.3407,-72.0000,10.3194,10.3194
250,putt,Green,-237.0619,10.3403,-72.0000,10.3189,10.3189
251,putt,Green,-237.0432,10.3398,-72.0000,10.3185,10.3185
252,putt,Green,-237.0244,10.3393,-72.0000,10.3180,10.3180
253,putt,Green,-237.0057,10.3389,-72.0000,10.3175,10.3175
254,putt,Green,-236.9870,10.3384,-72.0000,10.3171,10.3171
255,putt,Green,-236.9683,10.3380,-72.0000,10.3166,10.3166
256,putt,Green,-236.9496,10.3375,-72.0000,10.3161,10.3161
257,putt,Green,-236.9309,10.3370,-72.0000,10.3157,10.3157
258,putt,Green,-236.9122,10.3366,-72.0000,10.3152,10.3152
259,putt,Green,-236.8936,10.3361,-72.0000,10.3147,10.3147
260,putt,Green,-236.8749,10.3356,-72.0000,10.3143,10.3143
261,putt,Green,-236.8562,10.3352,-72.0000,10.3138,10.3138
262,putt,Green,-236.8376,10.3347,-72.0000,10.3133,10.3133
263,putt,Green,-236.8190,10.3342,-72.0000,10.3129,10.3129
264,putt,Green,-236.8003,10.3338,-72.0000,10.3124,10.3124
265,putt,Green,-236.7817,10.3333,-72.0000,10.3120,10.3120
266,putt,Green,-236.7631,10.3328,-72.0000,10.3115,10.3115
267,putt,Green,-236.7445,10.3324,-72.0000,10.3110,10.3110
268,putt,Green,-236.7259,10.3319,-72.0000,10.3106,10.3106
269,putt,Green,-236.7073,10.3315,-72.0000,10.3101,10.3101
270,putt,Green,-236.6887,10.3310,-72.0000,10.3097,10.3097
271,putt,Green,-236.6701,10.3306,-72.0000,10.3092,10.3092
272,putt,Green,-236.6516,10.3301,-72.0000,10.3088,10.3088
273,putt,Green,-236.6330,10.3296,-72.0000,10.3083,10.3083
274,putt,Green,-236.6145,10.3292,-72.0000,10.3078,10.3078
275,putt,Green,-236.5959,10.3287,-72.0000,10.3074,10.3074
276,putt,Green,-236.5774,10.3283,-72.0000,10.3069,10.3069
277,putt,Green,-236.5589,10.3278,-72.0000,10.3064,10.3064
278,putt,Green,-236.5403,10.3273,-72.0000,10.3060,10.3060
279,putt,Green,-236.5218,10.3269,-72.0000,10.3055,10.3055
280,putt,Green,-236.5033,10.3264,-72.0000,10.3051,10.3051
281,putt,Green,-236.4848,10.3260,-72.0000,10.3046,10.3046
282,putt,Green,-236.4663,10.3255,-72.0000,10.3042,10.3042
283,putt,Green,-236.4478,10.3250,-72.0000,10.3037,10.3037
284,putt,Green,-236.4294,10.3246,-72.0000,10.3032,10.3032
285,putt,Green,-236.4109,10.3241,-72.0000,10.3028,10.3028
286,putt,Green,-236.3924,10.3237,-72.0000,10.3023,10.3023
287,putt,Green,-236.3740,10.3232,-72.0000,10.3019,10.3019
288,putt,Green,-236.3555,10.3228,-72.0000,10.3014,10.3014
289,putt,Green,-236.3371,10.3223,-72.0000,10.3010,10.3010
290,putt,Green,-236.3187,10.3219,-72.0000,10.3005,10.3005
291,putt,Green,-236.3003,10.3214,-72.0000,10.3001,10.3001
292,putt,Green,-236.2818,10.3209,-72.0000,10.2996,10.2996
293,putt,Green,-236.2634,10.3205,-72.0000,10.2991,10.2991
294,putt,Green,-236.2450,10.3200,-72.0000,10.2987,10.2987
295,putt,Green,-236.2267,10.3196,-72.0000,10.2982,10.2982
296,putt,Green,-236.2083,10.3191,-72.0000,10.2978,10.2978
297,putt,Green,-236.1899,10.3187,-72.0000,10.2974,10.2974
298,putt,Green,-236.1715,10.3183,-72.0000,10.2969,10.2969
299,putt,Green,-236.1532,10.3178,-72.0000,10.2965,10.2965
300,putt,Green,-236.1348,10.3174,-72.0000,10.2960,10.2960
301,putt,Green,-236.1165,10.3169,-72.0000,10.2956,10.2956
302,putt,Green,-236.0981,10.3165,-72.0000,10.2952,10.2952
303,putt,Green,-236.0798,10.3161,-72.0000,10.2947,10.2947
304,putt,Green,-236.0615,10.3156,-72.0000,10.2943,10.2943
305,putt,Green,-236.0432,10.3152,-72.0000,10.2938,10.2938
306,putt,Green,-236.0249,10.3148,-72.0000,10.2934,10.2934
307,putt,Green,-236.0066,10.3143,-72.0000,10.2930,10.2930
308,putt,Green,-235.9883,10.3139,-72.0000,10.2925,10.2925
309,putt,Green,-235.9700,10.3135,-72.0000,10.2921,10.2921
310,putt,Green,-235.9517,10.3130,-72.0000,10.2917,10.2917
311,putt,Green,-235.9334,10.3126,-72.0000,10.2912,10.2912
312,putt,Green,-235.9152,10.3121,-72.0000,10.2908,10.2908
313,putt,Green,-235.8969,10.3117,-72.0000,10.2903,10.2903
314,putt,Green,-235.8787,10.3113,-72.0000,10.2899,10.2899
315,putt,Green,-235.8604,10.3108,-72.0000,10.2895,10.2895
316,putt,Green,-235.8422,10.3104,-72.0000,10.2891,10.2891
317,putt,Green,-235.8240,10.3100,-72.0000,10.2886,10.2886
318,putt,Green,-235.8058,10.3095,-72.0000,10.2882,10.2882
319,putt,Green,-235.7876,10.3091,-72.0000,10.2878,10.2878
320,putt,Green,-235.7694,10.3087,-72.0000,10.2874,10.2874
321,putt,Green,-235.7512,10.3083,-72.0000,10.2869,10.2869
322,putt,Green,-235.7330,10.3079,-72.0000,10.2865,10.2865
323,putt,Green,-235.7148,10.3074,-72.0000,10.2861,10.2861
324,putt,Green,-235.6966,10.3070,-72.0000,10.2857,10.2857
325,putt,Green,-235.6785,10.3066,-72.0000,10.2852,10.2852
326,putt,Green,-235.6603,10.3062,-72.0000,10.2848,10.2848
327,putt,Green,-235.6422,10.3057,-72.0000,10.2844,10.2844
328,putt,Green,-235.6240,10.3053,-72.0000,10.2840,10.2840
329,putt,Green,-235.6059,10.3049,-72.0000,10.2836,10.2836
330,putt,Green,-235.5878,10.3045,-72.0000,10.2831,10.2831
331,putt,Green,-235.5697,10.3041,-72.0000,10.2827,10.2827
332,putt,Green,-235.5516,10.3036,-72.0000,10.2823,10.2823
333,putt,Green,-235.5335,10.3032,-72.0000,10.2819,10.2819
334,putt,Green,-235.5154,10.3028,-72.0000,10.2815,10.2815
335,putt,Green,-235.4973,10.3024,-72.0000,10.2810,10.2810
336,putt,Green,-235.4792,10.3020,-72.0000,10.2806,10.2806
337,putt,Green,-235.4611,10.3015,-72.0000,10.2802,10.2802
338,putt,Green,-235.4431,10.3011,-72.0000,10.2798,10.2798
339,putt,Green,-235.4250,10.3007,-72.0000,10.2793,10.2793
340,putt,Green,-235.4070,10.3003,-72.0000,10.2789,10.2789
341,putt,Green,-235.3889,10.2999,-72.0000,10.2785,10.2785
342,putt,Green,-235.3709,10.2994,-72.0000,10.2781,10.2781
343,putt,Green,-235.3529,10.2990,-72.0000,10.2777,10.2777
344,putt,Green,-235.3349,10.2986,-72.0000,10.2773,10.2773
345,putt,Green,-235.3168,10.2982,-72.0000,10.2768,10.2768
346,putt,Green,-235.2988,10.2978,-72.0000,10.2764,10.2764
347,putt,Green,-235.2809,10.2973,-72.0000,10.2760,10.2760
348,putt,Green,-235.2629,10.2969,-72.0000,10.2756,10.2756
349,putt,Green,-235.2449,10.2965,-72.0000,10.2752,10.2752
350,putt,Green,-235.2269,10.2961,-72.0000,10.2747,10.2747
351,putt,Green,-235.2090,10.2957,-72.0000,10.2743,10.2743
352,putt,Green,-235.1910,10.2952,-72.0000,10.2739,10.2739
353,putt,Green,-235.1730,10.2948,-72.0000,10.2734,10.2734
354,putt,Green,-235.1551,10.2943,-72.0000,10.2730,10.2730
355,putt,Green,-235.1372,10.2939,-72.0000,10.2726,10.2726
356,putt,Green,-235.1192,10.2935,-72.0000,10.2721,10.2721
357,putt,Green,-235.1013,10.2930,-72.0000,10.2717,10.2717
358,putt,Green,-235.0834,10.2926,-72.0000,10.2712,10.2712
359,putt,Green,-235.0655,10.2921,-72.0000,10.2708,10.2708
360,putt,Green,-235.0476,10.2917,-72.0000,10.2704,10.2704
361,putt,Green,-235.0297,10.2913,-72.0000,10.2699,10.2699
362,putt,Green,-235.0119,10.2909,-72.0000,10.2695,10.2695
363,putt,Green,-234.9940,10.2904,-72.0000,10.2691,10.2691
364,putt,Green,-234.9761,10.2900,-72.0000,10.2686,10.2686
365,putt,Green,-234.9583,10.2895,-72.0000,10.2682,10.2682
366,putt,Green,-234.9404,10.2891,-72.0000,10.2678,10.2678
367,putt,Green,-234.9226,10.2887,-72.0000,10.2673,10.2673
368,putt,Green,-234.9047,10.2882,-72.0000,10.2669,10.2669
369,putt,Green,-234.8869,10.2878,-72.0000,10.2665,10.2665
370,putt,Green,-234.8691,10.2874,-72.0000,10.2660,10.2660
371,putt,Green,-234.8512,10.2869,-72.0000,10.2656,10.2656
372,putt,Green,-234.8334,10.2865,-72.0000,10.2651,10.2651
373,putt,Green,-234.8156,10.2861,-72.0000,10.2647,10.2647
374,putt,Green,-234.7978,10.2856,-72.0000,10.2643,10.2643
375,putt,Green,-234.7800,10.2852,-72.0000,10.2638,10.2638
376,putt,Green,-234.7623,10.2847,-72.0000,10.2634,10.2634
377,putt,Green,-234.7445,10.2843,-72.0000,10.2630,10.2630
378,putt,Green,-234.7267,10.2839,-72.0000,10.2625,10.2625
379,putt,Green,-234.7090,10.2834,-72.0000,10.2621,10.2621
380,putt,Green,-234.6912,10.2830,-72.0000,10.2616,10.2616
381,putt,Green,-234.6735,10.2826,-72.0000,10.2612,10.2612
382,putt,Green,-234.6557,10.2821,-72.0000,10.2608,10.2608
383,putt,Green,-234.6380,10.2817,-72.0000,10.2603,10.2603
384,putt,Green,-234.6203,10.2812,-72.0000,10.2599,10.2599
385,putt,Green,-234.6026,10.2808,-72.0000,10.2595,10.2595
386,putt,Green,-234.5849,10.2804,-72.0000,10.2590,10.2590
387,putt,Green,-234.5672,10.2799,-72.0000,10.2586,10.2586
388,putt,Green,-234.5495,10.2795,-72.0000,10.2582,10.2582
389,putt,Green,-234.5318,10.2791,-72.0000,10.2577,10.2577
390,putt,Green,-234.5141,10.2786,-72.0000,10.2573,10.2573
391,putt,Green,-234.4965,10.2782,-72.0000,10.2568,10.2568
392,putt,Green,-234.4788,10.2777,-72.0000,10.2564,10.2564
393,putt,Green,-234.4612,10.2773,-72.0000,10.2560,10.2560
394,putt,Green,-234.4435,10.2769,-72.0000,10.2555,10.2555
395,putt,Green,-234.4259,10.2764,-72.0000,10.2551,10.2551
