frame,worldX,worldZ,preferred,foundPreferred,nHits,hits
71,-240.5245,-72.0000,Green,1,2;Fairway_3|Fairway|10.3221;Green_1|Green|10.4073
72,-240.5245,-72.0000,Green,1,2;Fairway_3|Fairway|10.3221;Green_1|Green|10.4073
72,-240.5043,-72.0000,Green,1,2;Fairway_3|Fairway|10.3216;Green_1|Green|10.4067
73,-240.5043,-72.0000,Green,1,2;Fairway_3|Fairway|10.3216;Green_1|Green|10.4067
73,-240.4841,-72.0000,Green,1,2;Fairway_3|Fairway|10.3210;Green_1|Green|10.4062
74,-240.4841,-72.0000,Green,1,2;Fairway_3|Fairway|10.3210;Green_1|Green|10.4062
74,-240.4639,-72.0000,Green,1,2;Fairway_3|Fairway|10.3205;Green_1|Green|10.4056
75,-240.4639,-72.0000,Green,1,2;Fairway_3|Fairway|10.3205;Green_1|Green|10.4056
75,-240.4438,-72.0000,Green,1,2;Fairway_3|Fairway|10.3199;Green_1|Green|10.4051
76,-240.4438,-72.0000,Green,1,2;Fairway_3|Fairway|10.3199;Green_1|Green|10.4051
76,-240.4236,-72.0000,Green,1,2;Fairway_3|Fairway|10.3194;Green_1|Green|10.4045
77,-240.4236,-72.0000,Green,1,2;Fairway_3|Fairway|10.3194;Green_1|Green|10.4045
77,-240.4035,-72.0000,Green,1,2;Fairway_3|Fairway|10.3188;Green_1|Green|10.4040
78,-240.4035,-72.0000,Green,1,2;Fairway_3|Fairway|10.3188;Green_1|Green|10.4040
78,-240.3834,-72.0000,Green,1,2;Fairway_3|Fairway|10.3183;Green_1|Green|10.4034
79,-240.3834,-72.0000,Green,1,2;Fairway_3|Fairway|10.3183;Green_1|Green|10.4034
79,-240.3633,-72.0000,Green,1,2;Fairway_3|Fairway|10.3177;Green_1|Green|10.4029
80,-240.3633,-72.0000,Green,1,2;Fairway_3|Fairway|10.3177;Green_1|Green|10.4029
80,-240.3431,-72.0000,Green,1,2;Fairway_3|Fairway|10.3172;Green_1|Green|10.4023
81,-240.3431,-72.0000,Green,1,2;Fairway_3|Fairway|10.3172;Green_1|Green|10.4023
81,-240.3230,-72.0000,Green,1,2;Fairway_3|Fairway|10.3166;Green_1|Green|10.4018
82,-240.3230,-72.0000,Green,1,2;Fairway_3|Fairway|10.3166;Green_1|Green|10.4018
82,-240.3029,-72.0000,Green,1,2;Fairway_3|Fairway|10.3161;Green_1|Green|10.4012
83,-240.3029,-72.0000,Green,1,2;Fairway_3|Fairway|10.3161;Green_1|Green|10.4012
83,-240.2828,-72.0000,Green,1,2;Fairway_3|Fairway|10.3155;Green_1|Green|10.4007
84,-240.2828,-72.0000,Green,1,2;Fairway_3|Fairway|10.3155;Green_1|Green|10.4007
84,-240.2628,-72.0000,Green,1,2;Fairway_3|Fairway|10.3150;Green_1|Green|10.4001
85,-240.2628,-72.0000,Green,1,2;Fairway_3|Fairway|10.3150;Green_1|Green|10.4001
85,-240.2427,-72.0000,Green,1,2;Fairway_3|Fairway|10.3145;Green_1|Green|10.3996
